,Guwahati Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2016,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Apr-16,26-Apr-16,17,2064886.00,896360.00,13416.70,0.00,0.00,0.00,0.00,0.00,0.00,2974662.70,1456140.00,139.92,584173.00,139.63,11747.50,181.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2052060.50,140.08,,2-May-15,28-Apr-15,17,992741.50,464549.20,18624.70,0.00,0.00,0.00,0.00,0.00,0.00,1475915.40,626685.80,144.96,268535.60,154.19,13556.60,196.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,908778.00,148.46
7-May-16,3-May-16,18,2671871.70,1178875.40,10419.15,0.00,0.00,0.00,0.00,0.00,0.00,3861166.25,1768992.00,132.16,747189.00,136.38,9481.30,175.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2525662.30,133.57,,9-May-15,6-May-15,18,1368995.90,633620.90,38221.30,0.00,0.00,0.00,0.00,0.00,0.00,2040838.10,942241.50,146.56,374142.30,152.95,29145.60,183.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1345529.40,149.15
14-May-16,10-May-16,19,2187078.40,1066903.00,17875.60,0.00,0.00,0.00,0.00,0.00,0.00,3271857.00,1636676.20,133.79,842218.80,140.53,16904.40,174.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2495799.40,136.34,,16-May-15,13-May-15,19,1636313.10,744394.70,30488.10,0.00,0.00,0.00,0.00,0.00,0.00,2411195.90,1083901.90,142.36,424083.60,144.84,24765.00,177.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1532750.50,143.62
21-May-16,17-May-16,20,2111314.00,972320.10,18913.90,0.00,0.00,0.00,0.00,0.00,0.00,3102548.00,1528805.50,128.07,700581.60,131.98,16875.80,164.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2246262.90,129.56,,23-May-15,20-May-15,20,1632215.10,907971.40,44965.30,0.00,0.00,0.00,0.00,0.00,0.00,2585151.80,1031055.90,146.61,462959.80,142.70,36660.80,169.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1530676.50,145.98
28-May-16,24-May-16,21,2001437.60,926011.10,7906.90,0.00,0.00,0.00,0.00,0.00,0.00,2935355.60,1324322.60,134.19,629756.80,132.65,7775.80,192.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1961855.20,133.93,,30-May-15,27-May-15,21,1558214.40,808043.30,37710.00,0.00,0.00,0.00,0.00,0.00,0.00,2403967.70,1012943.40,144.72,558881.30,141.94,33236.20,183.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1605060.90,144.55
4-Jun-16,31-May-16,22,1869728.50,812661.20,11985.60,0.00,0.00,0.00,0.00,0.00,0.00,2694375.30,1409556.90,146.55,705023.60,146.27,11753.50,194.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2126334.00,146.72,,6-Jun-15,2-Jun-15,22,1857998.60,943658.30,12274.00,0.00,0.00,0.00,0.00,0.00,0.00,2813930.90,1216332.00,148.89,556449.00,150.06,7203.70,155.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1779984.70,149.28
11-Jun-16,7-Jun-16,23,2264950.50,1059378.70,21777.30,0.00,0.00,0.00,0.00,0.00,0.00,3346106.50,1827329.10,149.36,785862.60,151.75,20723.60,192.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2633915.30,150.41,,13-Jun-15,9-Jun-15,23,1938073.20,1125305.90,31150.50,0.00,0.00,0.00,0.00,0.00,0.00,3094529.60,1293740.80,149.76,626554.40,153.47,29123.30,178.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1949418.50,151.38
18-Jun-16,14-Jun-16,24,2314221.10,1090408.30,19287.20,0.00,0.00,0.00,0.00,0.00,0.00,3423916.60,1907827.10,150.62,983343.90,157.59,19287.20,197.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2910458.20,153.29,,20-Jun-15,16-Jun-15,24,2402862.30,1136226.80,38817.20,0.00,0.00,0.00,0.00,0.00,0.00,3577906.30,1661225.30,149.75,809819.30,156.15,32266.50,188.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2503311.10,152.31
25-Jun-16,23-Jun-16,25,2454490.10,1049046.50,19470.70,0.00,0.00,0.00,0.00,0.00,0.00,3523007.30,1794612.40,148.95,853348.30,161.15,19470.70,212.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2667431.40,153.32,,27-Jun-15,23-Jun-15,25,2609612.80,1387572.10,32644.60,0.00,0.00,0.00,0.00,0.00,0.00,4029829.50,1711233.50,149.59,951537.50,159.71,32644.60,190.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2695415.60,153.65
2-Jul-16,29-Jun-16,26,2564042.90,1323179.70,19837.10,0.00,0.00,0.00,0.00,0.00,0.00,3907059.70,1754536.60,151.73,1063509.30,160.06,16745.90,223.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2834791.80,155.28,,4-Jul-15,30-Jun-15,26,2543806.90,1528568.80,36239.40,0.00,0.00,0.00,0.00,0.00,0.00,4108615.10,1686741.50,150.62,1164794.40,157.88,33091.20,200.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2884627.10,154.13
9-Jul-16,5-Jul-16,27,2374306.00,1118338.00,32032.40,0.00,0.00,0.00,0.00,0.00,0.00,3524676.40,1693312.00,151.38,846502.10,163.27,29203.10,216.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2569017.20,156.04,,11-Jul-15,7-Jul-15,27,2387940.00,1226402.40,23927.80,0.00,0.00,0.00,0.00,0.00,0.00,3638270.20,1618133.50,152.36,884674.60,160.34,22401.50,177.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2525209.60,155.38
16-Jul-16,13-Jul-16,28,2584094.40,1280445.70,25137.60,0.00,0.00,0.00,0.00,0.00,0.00,3889677.70,1885466.60,150.84,1034798.90,159.88,20968.60,195.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2941234.10,154.34,,18-Jul-15,15-Jul-15,28,2770151.60,1458155.10,42335.50,0.00,0.00,0.00,0.00,0.00,0.00,4270642.20,1922256.30,148.39,1042845.40,155.78,40385.50,209.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3005487.20,151.78
23-Jul-16,19-Jul-16,29,3025609.90,1459248.40,22804.50,0.00,0.00,0.00,0.00,0.00,0.00,4507662.80,2128244.40,149.13,1088971.50,151.27,20911.80,205.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3238127.70,150.21,,25-Jul-15,22-Jul-15,29,2773812.10,1394526.70,65016.60,0.00,0.00,0.00,0.00,0.00,0.00,4233355.40,1878632.20,153.12,945400.30,164.36,57083.85,222.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2881116.35,158.17
30-Jul-16,26-Jul-16,30,4056824.60,1764992.90,36096.10,0.00,0.00,0.00,0.00,0.00,0.00,5857913.60,2716959.80,144.02,1271831.90,150.46,28210.40,187.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4017002.10,146.36,,1-Aug-15,29-Jul-15,30,2885339.00,1332378.00,75964.00,0.00,0.00,0.00,0.00,0.00,0.00,4293681.00,2126560.90,149.64,941169.60,159.43,64578.40,209.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3132308.90,153.82
6-Aug-16,2-Aug-16,31,2861824.50,1387213.30,30869.40,0.00,0.00,0.00,0.00,0.00,0.00,4279907.20,1879597.60,142.70,1026762.10,146.81,25396.00,195.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2931755.70,144.60,,8-Aug-15,4-Aug-15,31,2836768.50,1526924.30,115456.60,0.00,0.00,0.00,0.00,0.00,0.00,4479149.40,2150163.90,148.29,1068623.00,156.52,104617.75,203.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3323404.65,152.66
13-Aug-16,9-Aug-16,32,3460758.80,1538375.20,37501.70,0.00,0.00,0.00,0.00,0.00,0.00,5036635.70,2235409.50,141.90,1063136.70,145.69,32976.90,203.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3331523.10,143.72,,15-Aug-15,11-Aug-15,32,2879363.50,1494695.80,158994.70,0.00,0.00,0.00,0.00,0.00,0.00,4533054.00,2189480.90,150.12,1057356.10,153.98,116358.75,192.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3363195.75,152.82
20-Aug-16,16-Aug-16,33,3795104.70,1835653.10,22225.30,0.00,0.00,0.00,0.00,0.00,0.00,5652983.10,2619405.50,139.85,1295208.20,143.83,20389.40,204.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3935003.10,141.50,,22-Aug-15,18-Aug-15,33,3180637.00,1636031.80,53165.65,0.00,0.00,0.00,0.00,0.00,0.00,4869834.45,2365998.20,146.74,1070319.40,164.50,44617.85,199.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3480935.45,152.88
27-Aug-16,23-Aug-16,34,3432429.80,1565304.80,27064.80,0.00,0.00,0.00,0.00,0.00,0.00,5024799.40,2212675.20,140.33,1178907.20,145.25,23089.50,192.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3414671.90,142.38,,29-Aug-15,25-Aug-15,34,3497817.60,1733955.50,131203.60,0.00,0.00,0.00,0.00,0.00,0.00,5362976.70,2601550.00,148.25,1207477.30,160.82,119381.30,190.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3928408.60,153.40
3-Sep-16,30-Aug-16,35,3659342.90,1675799.60,26655.20,0.00,0.00,0.00,0.00,0.00,0.00,5361797.70,2500549.60,139.63,1339862.60,144.37,21116.60,199.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3861528.80,141.60,,5-Sep-15,1-Sep-15,35,3703655.70,1728809.70,111814.35,0.00,0.00,0.00,0.00,0.00,0.00,5544279.75,2436946.60,145.73,1051095.60,159.29,89785.90,192.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3577828.10,150.88
10-Sep-16,6-Sep-16,36,3471978.10,1578699.80,19056.30,0.00,0.00,0.00,0.00,0.00,0.00,5069734.20,2341805.30,138.53,1307510.30,142.99,15406.40,185.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3664722.00,140.32,,12-Sep-15,8-Sep-15,36,3716599.20,1874931.70,73851.90,0.00,0.00,0.00,0.00,0.00,0.00,5665382.80,2662115.00,142.03,1203357.80,148.54,64724.85,190.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3930197.65,144.82
