,,Kolkata Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2016,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Apr-16,26-Apr-16,17,1383000.65,478000.50,349704.40,11658.40,0.00,0.00,0.00,0.00,0.00,2222363.95,914263.87,146.58,341115.40,156.93,288695.00,226.00,11658.40,121.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1555732.67,163.40,,2-May-15,28-Apr-15,17,788362.12,161494.70,123557.60,6362.15,0.00,0.00,0.00,0.00,0.00,1079776.57,526501.01,142.83,97977.60,152.33,4544.00,125.97,98989.80,216.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,728012.41,154.01
7-May-16,3-May-16,18,1793911.40,645562.55,393569.50,22008.70,0.00,0.00,0.00,0.00,0.00,2855052.15,1212339.73,145.68,396765.35,151.16,361691.90,219.68,20973.90,118.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1991770.88,159.93,,9-May-15,5-May-15,18,1142914.02,321482.35,349561.95,20480.90,0.00,0.00,0.00,0.00,0.00,1834439.22,751978.01,148.96,179851.00,147.98,250674.45,193.23,16793.15,111.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1199296.61,157.54
14-May-16,11-May-16,19,1791616.07,842552.78,395721.68,19987.70,0.00,0.00,0.00,0.00,0.00,3049878.23,1223288.86,148.62,670389.48,153.70,361045.48,213.77,19650.30,124.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2274374.12,160.25,,16-May-15,12-May-15,19,718247.60,212627.25,281902.20,22248.25,0.00,0.00,0.00,0.00,0.00,1235025.30,538364.70,153.33,135772.35,159.57,213579.30,191.59,15851.90,109.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,903568.25,162.54
21-May-16,17-May-16,20,1855251.50,725860.43,438412.00,31802.80,0.00,0.00,0.00,0.00,0.00,3051326.73,1203148.00,144.21,500690.73,148.48,385531.50,210.26,25919.30,120.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2115289.53,156.97,,23-May-15,19-May-15,20,908424.90,297937.54,217067.70,19601.35,0.00,0.00,0.00,0.00,0.00,1443031.49,675966.09,143.28,190742.30,154.17,180802.70,185.47,17179.40,114.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1064690.49,151.93
28-May-16,24-May-16,21,1673988.93,792082.10,287721.15,19125.70,0.00,0.00,0.00,0.00,0.00,2772917.88,1098253.92,144.53,498409.50,145.95,260088.75,217.18,18286.50,118.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875038.67,154.72,,30-May-15,26-May-15,21,1289010.18,569169.25,377254.91,26318.30,0.00,0.00,0.00,0.00,0.00,2261752.64,892199.24,156.62,399460.50,161.34,316672.44,183.91,23423.80,113.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1631755.98,162.45
4-Jun-16,31-May-16,22,1430981.46,548652.70,218727.10,14514.40,0.00,0.00,0.00,0.00,0.00,2212875.66,967673.66,144.68,415214.90,144.72,207522.00,233.18,12143.00,123.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1602553.56,155.99,,6-Jun-15,2-Jun-15,22,1317080.83,488062.80,349051.29,24347.30,0.00,0.00,0.00,0.00,0.00,2178542.22,854284.98,151.02,335782.20,162.60,309737.49,189.32,21733.80,108.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1521538.47,160.77
11-Jun-16,7-Jun-16,23,1648587.17,652009.50,352487.95,18122.80,0.00,0.00,0.00,0.00,0.00,2671207.42,1127734.52,153.88,452621.60,155.33,319167.95,239.86,14241.20,126.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1913765.27,168.35,,13-Jun-15,9-Jun-15,23,1636043.16,590054.65,470790.20,27315.30,0.00,0.00,0.00,0.00,0.00,2724203.31,1076904.94,151.49,414931.85,160.27,423284.90,210.72,23408.15,109.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1938529.84,165.80
18-Jun-16,14-Jun-16,24,1802274.64,915767.60,480278.25,18706.20,0.00,0.00,0.00,0.00,0.00,3217026.69,1336411.55,163.87,680140.30,164.65,448758.40,246.11,15521.40,130.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2480831.65,178.75,,20-Jun-15,16-Jun-15,24,2060580.50,807798.81,432956.82,31831.30,0.00,0.00,0.00,0.00,0.00,3333167.43,1312049.13,157.55,515155.86,175.62,389790.12,233.07,28649.05,117.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2245644.16,174.30
25-Jun-16,23-Jun-16,25,2081673.36,981529.00,551263.65,21911.20,0.00,43272.10,0.00,0.00,0.00,3679649.31,1511780.57,160.50,799171.20,171.24,489176.25,252.03,21911.20,134.32,0.00,0.00,21505.50,404.33,0.00,0.00,0.00,0.00,0.00,0.00,2843544.72,180.91,,27-Jun-15,23-Jun-15,25,2112600.52,804849.65,559139.57,49993.05,0.00,0.00,0.00,0.00,0.00,3526582.79,1373267.32,159.35,600128.60,175.64,481025.67,246.44,32275.15,118.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2486696.74,179.60
2-Jul-16,29-Jun-16,26,2230036.90,1107436.40,538114.22,22724.80,0.00,51552.50,0.00,0.00,0.00,3949864.82,1617671.92,164.53,872415.00,176.65,466209.72,244.28,21215.00,134.71,0.00,0.00,35085.10,430.04,0.00,0.00,0.00,0.00,0.00,0.00,3012596.74,183.26,,4-Jul-15,30-Jun-15,26,2118391.06,835604.10,442975.30,43467.00,0.00,0.00,0.00,0.00,0.00,3440437.46,1535637.56,152.36,634089.75,165.12,397628.40,255.20,38328.60,120.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2605684.31,170.69
