week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
2-Jan-16,2015,52,15405.0,8940.0,84.12
9-Jan-16,2016,1,13636.0,9758.0,83.71
16-Jan-16,2016,2,13545.0,11861.0,89.82
23-Jan-16,2016,3,7137.0,7137.0,88.89
30-Jan-16,2016,4,7099.0,3949.0,91.5
6-Feb-16,2016,5,9070.0,5674.0,92.33
13-Feb-16,2016,6,9074.0,8082.0,97.84
20-Feb-16,2016,7,9511.0,9511.0,93.63
27-Feb-16,2016,8,8834.0,7713.0,92.4
5-Mar-16,2016,9,8439.0,5268.0,85.59
12-Mar-16,2016,10,14515.0,7846.0,90.32
19-Mar-16,2016,11,10024.0,6652.0,96.42
26-Mar-16,2016,12,11372.0,6450.0,95.85
2-Apr-16,2016,13,12720.0,6248.0,95.28
9-Apr-16,2016,14,12924.0,3132.0,86.19
16-Apr-16,2016,15,16523.0,14539.0,86.67
23-Apr-16,2016,16,9875.0,8095.0,86.78
30-Apr-16,2016,17,10997.0,10190.0,92.07
7-May-16,2016,18,8725.0,6645.0,87.73
14-May-16,2016,19,10827.0,10581.0,92.87
21-May-16,2016,20,11425.0,7027.0,85.49
28-May-16,2016,21,11018.0,8246.0,89.61
4-Jun-16,2016,22,13216.0,12424.0,89.95
11-Jun-16,2016,23,7957.0,7165.0,96.2
18-Jun-16,2016,24,17072.0,17072.0,94.71
25-Jun-16,2016,25,13527.0,5322.0,93.86
2-Jul-16,2016,26,15649.0,11197.0,94.29
9-Jul-16,2016,27,17469.0,9853.0,94.93
16-Jul-16,2016,28,12408.0,10495.75,93.68
23-Jul-16,2016,29,13225.0,8381.88,91.94
30-Jul-16,2016,30,24608.0,6268.0,90.2
6-Aug-16,2016,31,18126.0,14950.0,92.22
13-Aug-16,2016,32,19432.0,6957.0,91.58
20-Aug-16,2016,33,18494.0,10166.0,85.16
27-Aug-16,2016,34,13178.0,9625.0,93.15
3-Sep-16,2016,35,18704.0,11269.0,92.98
