,Jalpiguri Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalpiguri Auctions During 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2015,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2014,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2014,Avg Price 2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun-15,,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,31-May-14,,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13-Jun-15,,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7-Jun-14,,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20-Jun-15,,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,14-Jun-14,,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27-Jun-15,,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,21-Jun-14,24-Jun-14,25,22585.00,646.50,0.00,0.00,0.00,0.00,0.00,0.00,23231.50,13887.00,124.49,646.50,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14533.50,124.43
4-Jul-15,,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,28-Jun-14,,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11-Jul-15,,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,5-Jul-14,1-Jul-14,27,14036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14036.00,9830.00,117.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9830.00,117.47
18-Jul-15,,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12-Jul-14,8-Jul-14,28,31090.00,1293.00,0.00,0.00,0.00,0.00,0.00,0.00,32383.00,14268.50,113.94,1293.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15561.50,114.19
25-Jul-15,,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19-Jul-14,15-Jul-14,29,15959.50,646.50,0.00,0.00,0.00,0.00,0.00,0.00,16606.00,12834.00,106.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12834.00,106.06
1-Aug-15,,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,26-Jul-14,22-Jul-14,30,17011.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17011.50,7566.00,114.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7566.00,114.73
8-Aug-15,,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2-Aug-14,28-Jul-14,31,7861.50,643.00,0.00,0.00,0.00,0.00,0.00,0.00,8504.50,296.50,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.50,120.00
