,Jalpiguri Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,Sold,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2012,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2012,Avg Price 2012
22-Sep-12,18-Sep-12,38,111819.60,5412.40,0.00,0.00,0.00,0.00,0.00,117232.00,61881.40,101.01,1661.00,99.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63542.40,100.96
29-Sep-12,25-Sep-12,39,111942.30,9342.00,0.00,0.00,0.00,0.00,0.00,121284.30,62434.60,96.33,2763.00,93.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65197.60,96.20
6-Oct-12,3-Oct-12,40,91903.80,9198.40,0.00,0.00,0.00,0.00,0.00,101102.20,59355.80,97.92,4441.00,93.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63796.80,97.62
13-Oct-12,9-Oct-12,41,86753.20,6003.00,0.00,0.00,0.00,0.00,0.00,92756.20,50655.60,95.41,2714.00,92.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53369.60,95.27
20-Oct-12,16-Oct-12,42,73051.90,6953.40,0.00,0.00,0.00,0.00,0.00,80005.30,48824.90,95.00,3991.40,88.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52816.30,94.49
27-Oct-12,,43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3-Nov-12,30-Oct-12,44,40642.00,1470.00,0.00,0.00,0.00,0.00,0.00,42112.00,23599.00,97.00,1470.00,88.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25069.00,96.52
10-Nov-12,7-Nov-12,45,64919.00,7642.00,0.00,0.00,0.00,0.00,0.00,72561.00,62391.00,99.79,6610.00,90.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69001.00,98.93
17-Nov-12,15-Nov-12,46,64715.00,3628.00,0.00,0.00,0.00,0.00,0.00,68343.00,42773.00,101.18,2890.00,93.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45663.00,100.71
24-Nov-12,21-Nov-12,47,30127.00,6536.00,0.00,0.00,0.00,0.00,0.00,36663.00,25543.00,106.48,6210.00,97.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31753.00,104.67
1-Dec-12,27-Nov-12,48,50213.00,2554.00,0.00,0.00,0.00,0.00,0.00,52767.00,33359.00,105.47,2232.00,99.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35591.00,105.07
8-Dec-12,4-Dec-12,49,50344.00,3922.00,0.00,0.00,0.00,0.00,0.00,54266.00,40721.00,103.88,3226.00,99.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43947.00,103.55
15-Dec-12,11-Dec-12,50,59931.00,3743.00,0.00,0.00,0.00,0.00,0.00,63674.00,41967.00,103.64,3447.00,95.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45414.00,103.02
22-Dec-12,18-Dec-12,51,63803.00,3434.20,0.00,0.00,0.00,0.00,0.00,67237.20,44666.00,102.18,3058.00,100.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47724.00,102.06
29-Dec-12,26-Dec-12,52,60226.00,820.00,0.00,0.00,0.00,0.00,0.00,61046.00,44706.00,99.06,352.00,89.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45058.00,98.99
